start	end	text
0	4200	Hi everyone. So today we are once again continuing our implementation of MakeMore.
4980	10560	Now so far we've come up to here, multilayer perceptrons, and our neural net looked like this,
10800	14880	and we were implementing this over the last few lectures. Now I'm sure everyone is very excited
14880	19340	to go into recurrent neural networks and all of their variants and how they work, and the diagrams
19340	22180	look cool and it's very exciting and interesting, and we're going to get a better result.
22760	28400	But unfortunately I think we have to remain here for one more lecture. And the reason for that is
28400	32300	we've already trained this multilayer perceptron, right, and we are getting pretty good loss,
32520	35880	and I think we have a pretty decent understanding of the architecture and how it works.
36360	42240	But the line of code here that I take an issue with is here, loss.backward. That is, we are
42240	48080	taking PyTorch autograd and using it to calculate all of our gradients along the way. And I would
48080	52580	like to remove the use of loss.backward, and I would like us to write our backward pass manually
52580	57940	on the level of tensors. And I think that this is a very useful exercise for the following reasons.
58400	64040	I actually have an entire blog post on this topic, but I'd like to call backpropagation a leaky
64040	69240	abstraction. And what I mean by that is backpropagation doesn't just make your neural
69240	73560	networks just work magically. It's not the case that you can just stack up arbitrary Lego blocks
73560	77820	of differentiable functions and just cross your fingers and backpropagate and everything is great.
78760	82660	Things don't just work automatically. It is a leaky abstraction in the sense that
82660	88140	you can shoot yourself in the foot if you do not understand its internals. It will magically not
88400	93380	work or not work optimally. And you will need to understand how it works under the hood if you're
93380	99200	hoping to debug it and if you are hoping to address it in your neural net. So this blog post
99200	103580	here from a while ago goes into some of those examples. So for example, we've already covered
103580	109520	them, some of them already. For example, the flat tails of these functions and how you do not want
109520	114980	to saturate them too much because your gradients will die. The case of dead neurons, which I've
114980	118160	already covered as well. The case of exploding or
118400	121880	exploding gradients in the case of recurring neural networks, which we are about to cover.
122840	128780	And then also you will often come across some examples in the wild. This is a snippet that I
128780	134240	found in a random code base on the internet where they actually have like a very subtle but pretty
134240	139880	major bug in their implementation. And the bug points at the fact that the author of this code
139880	143420	does not actually understand backpropagation. So what they're trying to do here is they're trying
143420	148040	to clip the loss at a certain maximum value. But actually what they're trying to do is they're
148400	152360	trying to clip the gradients to have a maximum value instead of trying to clip the loss at a
152360	158240	maximum value. And indirectly, they're basically causing some of the outliers to be actually
158240	164300	ignored. Because when you clip the loss of an outlier, you are setting its gradient to 0.
164840	169760	And so have a look through this and read through it. But there's basically a bunch of subtle
169760	173600	issues that you're going to avoid if you actually know what you're doing. And that's why I don't
173600	178380	think it's the case that because PyTorch or other frameworks offer autograd, it is okay for us to do.
178400	185480	ignore how it works. Now, we've actually already covered autograd and we wrote micrograd, but
185480	190500	micrograd was an autograd engine only on the level of individual scalars. So the atoms were single
190500	195000	individual numbers. And, you know, I don't think it's enough. And I'd like us to basically think
195000	199420	about backpropagation on the level of tensors as well. And so in a summary, I think it's a good
199420	204760	exercise. I think it is very, very valuable. You're going to become better at debugging neural
204760	209180	networks and making sure that you understand what you're doing. It is going to make everything
209180	213460	fully explicit. So you're not going to be nervous about what is hidden away from you. And basically
213460	219100	in general, we're going to emerge stronger. And so let's get into it. A bit of a fun historical note
219100	224020	here is that today writing your backward pass by hand and manually is not recommended and no one
224020	229000	does it except for the purposes of exercise. But about 10 years ago in deep learning, this was
229000	233740	fairly standard and in fact pervasive. So at the time, everyone used to write their backward pass
233740	234600	by hand manually.
234760	239940	Including myself. And it's just what you would do. So we used to write backward pass by hand. And now
239940	246100	everyone just calls lost that backward. We've lost something. I want to give you a few examples of
246100	253480	this. So here's a 2006 paper from Jeff Hinton and Ruslan Slakhtinov in science that was
253480	258800	influential at the time. And this was training some architectures called restricted Boltzmann
258800	264580	machines. And basically, it's an autoencoder trained here. And this is from roughly
264580	264740	2000.
264760	270100	In 2010, I had a library for training restricted Boltzmann machines. And this was at the time
270100	274980	written in Matlab. So Python was not used for deep learning pervasively. It was all Matlab. And
274980	281060	Matlab was this scientific computing package that everyone would use. So we would write Matlab,
281060	286740	which is barely a programming language as well. But it had a very convenient tensor class.
286740	290420	And it was this computing environment and you would run here. It would all run on the CPU,
290420	294580	of course. But you would have very nice plots to go with it and a built-in debugger. And it was
294580	301080	pretty nice. Now, the code in this package in 2010 that I wrote for fitting restricted Boltzmann
301080	306280	machines to a large extent is recognizable. But I wanted to show you how you would... Well,
306280	311880	I'm creating the data in the XY batches. I'm initializing the neural net. So it's got weights
311880	316440	and biases just like we're used to. And then this is the training loop where we actually do the
316440	321200	forward pass. And then here, at this time, they didn't even necessarily use back propagation to
321200	324400	train neural networks. So this, in particular, implements a lot of the training that we're doing.
324400	329920	It implements contrastive divergence, which estimates a gradient. And then here, we take
329920	335860	that gradient and use it for a parameter update along the lines that we're used to. Yeah, here.
335860	341200	But you can see that basically people are meddling with these gradients directly and inline and
341200	345640	themselves. It wasn't that common to use an autograd engine. Here's one more example from a
345640	351640	paper of mine from 2014 called Deep Fragment Embeddings. And here, what I was doing is I was
351640	353020	aligning images and text.
354400	379520	And here, I'm implementing the cost function. And it was standard to implement not just the cost,
379520	384200	but also the backward pass manually. So here, I'm calculating the image embeddings,
384200	384380	and I'm implementing the cost function. And here, I'm implementing the backward pass manually.
384400	391260	Sentence embeddings, I calculate the scores. This is the loss function. And then once I have
391260	395820	the loss function, I do the backward pass right here. So I backward through the loss function
395820	401480	and through the neural net, and I append regularization. So everything was done by hand
401480	405000	manually, and you would just write out the backward pass. And then you would use a gradient
405000	409340	checker to make sure that your numerical estimate of the gradient agrees with the one you calculated
409340	413820	during back propagation. So this was very standard for a long time. But today, of course, it is
413820	419180	standard to use an autograd engine. But it was definitely useful, and I think people sort of
419180	423180	understood how these neural networks work on a very intuitive level. And so I think it's a good
423180	427020	exercise again, and this is where we want to be. Okay, so just as a reminder from our previous
427020	432440	lecture, this is the Jupyter notebook that we implemented at the time. And we're going to keep
432440	436540	everything the same. So we're still going to have a two-layer multi-layer perceptron with a batch
436540	441260	normalization layer. So the forward pass will be basically identical to this lecture. But here,
441260	443780	we're going to get rid of loss.backward. And instead, we're going to
443820	448900	write the backward pass manually. Now, here's the starter code for this lecture. We are becoming
448900	455020	a backprop ninja in this notebook. And the first few cells here are identical to what we are used
455020	460040	to. So we are doing some imports, loading in the data set, and processing the data set. None of
460040	465100	this changed. Now, here, I'm introducing a utility function that we're going to use later to compare
465100	469020	the gradients. So in particular, we are going to have the gradients that we estimate manually
469020	473780	ourselves. And we're going to have gradients that PyTorch calculates. And we're going to be
473820	476720	checking for correctness, assuming, of course, that PyTorch is correct.
478660	483900	Then here, we have the initialization that we are quite used to. So we have our embedding table for
483900	488860	the characters, the first layer, second layer, and a batch normalization in between. And here's
488860	493200	where we create all the parameters. Now, you will note that I changed the initialization a little
493200	498600	bit to be small numbers. So normally, you would set the biases to be all zero. Here, I'm setting
498600	503800	them to be small random numbers. And I'm doing this because if your variables are all zero,
503820	507900	or initialized to exactly zero, sometimes what can happen is that can mask an incorrect
507900	513200	implementation of a gradient. Because when everything is zero, it sort of like simplifies
513200	517320	and gives you a much simpler expression of the gradient than you would otherwise get. And so by
517320	522120	making it small numbers, I'm trying to unmask those potential errors in these calculations.
522920	528820	You also notice that I'm using b1 in the first layer. I'm using a bias despite batch
528820	533580	normalization right afterwards. So this would typically not be what you'd do because we talked
533580	533800	about the bias. So I'm going to mask the bias. And I'm going to mask the bias. And I'm going to
533820	538460	fact that you don't need a bias but i'm doing this here just for fun because we're going to
538460	542220	have a gradient with respect to it and we can check that we are still calculating it correctly
542220	548140	even though this bias is spurious so here i'm calculating a single batch and then here i am
548140	553260	doing a forward pass now you'll notice that the forward pass is significantly expanded from what
553260	559420	we are used to here the forward pass was just um here now the reason that the forward pass is
559420	565020	longer is for two reasons number one here we just had an f dot cross entropy but here i am bringing
565020	570940	back a explicit implementation of the loss function and number two i've broken up the
570940	577020	implementation into manageable chunks so we have a lot a lot more intermediate tensors along the way
577020	581420	in the forward pass and that's because we are about to go backwards and calculate the gradients
582220	588380	in this back propagation from the bottom to the top so we're going to go upwards and just like we
588380	589340	have for example the lockpick
589420	593980	props tensor in a forward pass in a backward pass we're going to have a d lock props which is going
593980	598300	to store the derivative of the loss with respect to the lock props tensor and so we're going to
598300	603420	be prepending d to every one of these tensors and calculating it along the way of this back
603420	609420	propagation so as an example we have a b in raw here we're going to be calculating a db in raw
610140	616220	so here i'm telling pytorch that we want to retain the grad of all these intermediate values because
616220	619260	here in exercise one we're going to calculate the backward pass
619420	624860	so we're going to calculate all these d variable d variables and use the cmp function i've introduced
624860	629900	above to check our correctness with respect to what pytorch is telling us this is going to be
629900	635500	exercise one where we sort of back propagate through this entire graph now just to give you
635500	638380	a very quick preview of what's going to happen in exercise two and below
639580	645340	here we have fully broken up the loss and back propagated through it manually in all
645340	649340	the little atomic pieces that make it up but here we're going to collapse the loss into
649420	654300	a single cross entropy call and instead we're going to analytically derive using
654940	660780	math and paper and pencil the gradient of the loss with respect to the logits and instead of
660780	664780	back propagating through all of its little chunks one at a time we're just going to analytically
664780	668780	derive what that gradient is and we're going to implement that which is much more efficient as
668780	674060	we'll see in a bit then we're going to do the exact same thing for batch normalization so
674060	679180	instead of breaking up bastion arm into all the little tiny components we're going to use pen and
679420	685100	paper and mathematics and calculus to derive the gradient through the bachelor bathroom layer so
685100	689660	we're going to calculate the backward pass through bathroom layer in a much more efficient expression
689660	692780	instead of backward propagating through all of its little pieces independently
693500	698780	so it's going to be exercise three and then in exercise four we're going to put it all together
698780	703980	and this is the full code of training this two layer mlp and we're going to basically insert
703980	709260	our manual backdrop and we're going to take out lost up backward and you will basically see
709420	715980	that you can get all the same results using fully your own code and the only thing we're using from
715980	722460	pytorch is the torch.tensor to make the calculations efficient but otherwise you will understand fully
722460	726780	what it means to forward and backward the neural net and train it and i think that'll be awesome so
726780	733100	let's get to it okay so i ran all the cells of this notebook all the way up to here and i'm going
733100	738380	to erase this and i'm going to start implementing backward pass starting with d lock probes so we
739420	743980	go here to calculate the gradient of the loss with respect to all the elements of the lock props
743980	749260	tensor now i'm going to give away the answer here but i wanted to put a quick note here that
749260	754380	i think would be most pedagogically useful for you is to actually go into the description of this
754380	758940	video and find the link to this jupyter notebook you can find it both on github but you can also
758940	762780	find google collab with it so you don't have to install anything you'll just go to a website on
762780	769260	google collab and you can try to implement these derivatives or gradients yourself and then if you
769420	775180	are not able to come to my video and see me do it and so work in tandem and try it first yourself
775180	779660	and then see me give away the answer and i think that'll be most valuable to you and that's how i
779660	785900	recommend you go through this lecture so we are starting here with d log props now d log props
785900	792220	will hold the derivative of the loss with respect to all the elements of log props what is inside
792220	799420	log blobs the shape of this is 32 by 27. so it's not going to surprise you that d log props should
799420	804380	also be an array of size 32 by 27 because we want the derivative loss with respect to all of its
804380	812620	elements so the sizes of those are always going to be equal now how how does log probes influence
812620	821180	the loss okay loss is negative log probes indexed with range of n and yb and then the mean of that
821740	827660	now just as a reminder yb is just basically an array of all the
828780	829420	correct indexes of all the indexes of all the indexes of all the indexes of all the indexes of
829420	835100	all the indexes so what we're doing here is we're taking the log props array of size 32 by 27
837340	844220	right and then we are going in every single row and in each row we are plugging plucking out
844220	848620	the index 8 and then 14 and 15 and so on so we're going down the rows
848620	853340	that's the iterator range of n and then we are always plucking out the index and the
853340	859020	column specified by this tensor yb so in the zeroth row we are taking the eighth column
859580	867100	in the first row we're taking the 14th column etc and so log props at this plucks out all those
869020	874300	log probabilities of the correct next character in a sequence so that's what that does and the
874300	881500	shape of this or the size of it is of course 32 because our batch size is 32. so these elements
881500	888620	get plucked out and then their mean and the negative of that becomes loss so i always like to
889580	895740	examples to understand the numerical form of derivative what's going on here is once we've
895740	902060	plucked out these examples um we're taking the mean and then the negative so the loss basically
902780	906540	if i can write it this way is the negative of say a plus b plus c
907900	911980	and the mean of those three numbers would be say negative would divide three that would be how we
911980	918060	achieve the mean of three numbers a b c although we actually have 32 numbers here and so what is
919420	925900	loss by say like da right well if we simplify this expression mathematically this is negative
925900	929020	one over three of a and negative one plus negative one over three of b
930940	936140	plus negative one over three of c and so what is d loss by d a it's just negative one over three
937020	940620	and so you can see that if we don't just have a b and c but we have 32 numbers
941340	948060	then d loss by d um you know every one of those numbers is going to be one over n more generally
949420	952140	the size of the batch, 32 in this case.
953140	959060	So DLoss by DLockProbs is negative one over N
959060	961200	in all these places.
961980	964620	Now, what about the other elements inside LockProbs?
964760	966260	Because LockProbs is a large array.
966260	969300	You see that LockProbs.shape is 32 by 27,
969720	973640	but only 32 of them participate in the loss calculation.
974240	976160	So what's the derivative of all the other,
976460	979380	most of the elements that do not get blocked out here?
980380	981880	Well, their loss intuitively is zero.
982200	984400	Sorry, their gradient intuitively is zero.
984780	986740	And that's because they did not participate in the loss.
987260	989760	So most of these numbers inside this tensor
989760	991560	does not feed into the loss.
991940	993560	And so if we were to change these numbers,
994020	995140	then the loss doesn't change,
995200	997320	which is the equivalent of what I was saying,
997820	1000440	that the derivative of the loss with respect to them is zero.
1000740	1001640	They don't impact it.
1003080	1006100	So here's a way to implement this derivative then.
1006440	1009380	We start out with Torch.zeros of shape 32.
1009580	1011420	So we're going to set it to 32 by 27,
1011420	1015180	or let's just say instead of doing this because we don't want to hard-code numbers,
1015180	1019180	let's do Torch.zeros like LockProbs.
1019180	1023180	So basically this is going to create an array of zeros exactly in the shape of LockProbs.
1024180	1029180	And then we need to set the derivative of negative one over n inside exactly these locations.
1029180	1031180	So here's what we can do.
1031180	1034180	The LockProbs indexed in the identical way
1035180	1039180	will be just set to negative one over zero divide n.
1039920	1041420	Right, just like we derived here.
1042660	1045420	So now let me erase all of these reasoning.
1045920	1049420	And then this is the candidate derivative for DLockProbs.
1049660	1052420	Let's uncomment the first line and check that this is correct.
1054180	1059180	Okay, so CMP ran, and let's go back to CMP.
1059920	1062180	And you see that what it's doing is it's calculating if
1062920	1066180	the calculated value by us, which is dt,
1066420	1069180	is exactly equal to t.grad as calculated by PyTorch.
1069420	1073420	And then this is making sure that all of the elements are exactly equal.
1073420	1076420	And then converting this to a single Boolean value
1076460	1079420	because we don't want a Boolean tensor, we just want a Boolean value.
1079920	1083920	And then here we are making sure that, okay, if they're not exactly equal,
1083920	1086920	maybe they are approximately equal because of some floating point issues.
1086920	1088920	But they're very, very close.
1088920	1093420	So here we are using Torch.allClose, which has a little bit of a wiggle available
1093420	1095920	because sometimes you can get very, very close.
1096920	1098420	But if you use a slightly different calculation,
1098420	1098920	because of floating point, you can't get very, very close.
1098920	1103340	because of floating point arithmetic, you can get a slightly different result.
1103860	1106640	So this is checking if you get an approximately close result.
1107340	1112500	And then here we are checking the maximum, basically the value that has the highest difference,
1113080	1116740	and what is the difference, and the absolute value difference between those two.
1117340	1121100	And so we are printing whether we have an exact equality, an approximate equality,
1121520	1123500	and what is the largest difference.
1125180	1128700	And so here we see that we actually have exact equality.
1129180	1131380	And so therefore, of course, we also have an approximate equality,
1131680	1134300	and the maximum difference is exactly zero.
1134840	1140360	So basically, our DLOGPROPS is exactly equal to what PyTorch calculated to be
1140360	1142980	logPROPS.grad in its backpropagation.
1143720	1145540	So, so far, we're doing pretty well.
1146200	1147900	Okay, so let's now continue our backpropagation.
1148660	1151820	We have that logPROPS depends on PROPS through a log.
1152180	1156280	So all the elements of PROPS are being element-wise applied log to.
1157440	1158820	Now, if we want DPROPS...
1158920	1161420	then, then remember your micrograph training.
1162160	1163680	We have like a log node.
1163840	1166240	It takes in PROPS and creates logPROPS.
1166800	1171580	And DPROPS will be the local derivative of that individual operation, log,
1172000	1176980	times the derivative loss with respect to its output, which in this case is DLOGPROPS.
1177600	1179960	So what is the local derivative of this operation?
1180320	1183860	Well, we are taking log element-wise, and we can come here and we can see,
1183880	1188140	well, from alpha is your friend, that d by dx of log of x is just simply 1 over x.
1188920	1191680	So therefore, in this case, x is PROPS.
1191700	1195840	So we have d by dx is 1 over x, which is 1 over PROPS.
1196220	1197680	And then this is the local derivative.
1197700	1199540	And then times, we want to chain it.
1200120	1201040	So this is chain rule.
1201620	1202720	Times DLOGPROPS.
1203520	1207120	Then let me uncomment this and let me run the cell in place.
1207220	1211820	And we see that the derivative of PROPS as we calculated here is exactly correct.
1212920	1214520	And so notice here how this works.
1214800	1216400	PROPS that are...
1216600	1218740	PROPS is going to be inverted and then element-wise,
1218740	1220240	and then element-wise, multiplied here.
1220840	1223440	So if your PROPS is very, very close to 1,
1223540	1226740	that means your network is currently predicting the character correctly,
1227240	1230840	then this will become 1 over 1, and DLOGPROPS just gets passed through.
1231740	1233940	But if your probabilities are incorrectly assigned,
1234040	1238140	so if the correct character here is getting a very low probability,
1238640	1245040	then 1.0 dividing by it will boost this and then multiply by DLOGPROPS.
1245340	1248140	So basically, what this line is doing intuitively is it's taking
1248140	1248440	the...
1248440	1251740	the examples that have a very low probability currently assigned,
1251940	1253340	and it's boosting their gradient.
1254140	1255440	You can look at it that way.
1256140	1258240	Next up is COUNTSUMINV.
1259340	1261740	So we want the derivative of this.
1262240	1266540	Now, let me just pause here and kind of introduce what's happening here in general,
1266640	1267940	because I know it's a little bit confusing.
1268440	1270240	We have the logits that come out of the neural net.
