start	end	text
0	4380	Hello, my name is Andre and I've been training deep neural networks for a bit more than a decade
4380	9120	and in this lecture I'd like to show you what neural network training looks like under the hood.
9840	14080	So in particular we are going to start with a blank Jupyter notebook and by the end of this
14080	18640	lecture we will define and train a neural net and you'll get to see everything that goes on
18640	23680	under the hood and exactly sort of how that works on an intuitive level. Now specifically what I
23680	29240	would like to do is I would like to take you through building of micrograd. Now micrograd
29240	34080	is this library that I released on github about two years ago but at the time I only uploaded the
34080	39940	source code and you'd have to go in by yourself and really figure out how it works. So in this
39940	43740	lecture I will take you through it step by step and kind of comment on all the pieces of it.
44140	51520	So what is micrograd and why is it interesting? Thank you. Micrograd is basically an autograd
51520	56580	engine. Autograd is short for automatic gradient and really what it does is it implements back
56580	59120	propagation. Now back propagation is this algorithm
59120	59220	that you can use to create a neural network and you can use it to create a neural network
59220	59240	and you can use it to create a neural network and you can use it to create a neural network.
59240	65320	That allows you to efficiently evaluate the gradient of some kind of a loss function with
65320	70160	respect to the weights of a neural network and what that allows us to do then is we can
70160	74100	iteratively tune the weights of that neural network to minimize the loss function and
74100	78820	therefore improve the accuracy of the network. So back propagation would be at the mathematical
78820	84720	core of any modern deep neural network library like say PyTorch or JAX. So the functionality
84720	88780	of micrograd is I think best illustrated by an example. So if we just scroll down here
88780	93460	you'll see that micrograd basically allows you to build out mathematical expressions
93460	98580	and here what we are doing is we have an expression that we're building out where you have two
98580	105780	inputs a and b and you'll see that a and b are negative four and two but we are wrapping those
105780	111820	values into this value object that we are going to build out as part of micrograd. So this value
111820	117160	object will wrap the numbers themselves and then we are going to build out a mathematical expression
117160	118760	here where a and b are the values that we are going to build out as part of micrograd.
118760	123300	are transformed into C, D, and eventually E, F, and G.
123940	127040	And I'm showing some of the functionality of micrograph
127040	128460	and the operations that it supports.
128820	130680	So you can add two value objects.
130880	131780	You can multiply them.
132160	134160	You can raise them to a constant power.
134600	137460	You can offset by one, negate, squash at zero,
138200	142000	square, divide by constant, divide by it, et cetera.
142820	144680	And so we're building out an expression graph
144680	146980	with these two inputs, A and B,
146980	149520	and we're creating an output value of G.
150580	152420	And micrograph will, in the background,
152820	154640	build out this entire mathematical expression.
155200	158020	So it will, for example, know that C is also a value.
158840	160800	C was a result of an addition operation.
161500	165860	And the child nodes of C are A and B
165860	169620	because it will maintain pointers to A and B value objects.
169940	172580	So we'll basically know exactly how all of this is laid out.
173100	176320	And then not only can we do what we call the forward pass,
176320	176900	where we actually,
176980	178360	if we look at the value of G, of course,
178440	179380	that's pretty straightforward,
179960	182680	we will access that using the dot data attribute.
182920	185320	And so the output of the forward pass,
185760	188580	the value of G, is 24.7, it turns out.
188860	192620	But the big deal is that we can also take this G value object
192620	194220	and we can call dot backward.
194760	198600	And this will basically initialize backpropagation at the node G.
199980	201360	And what backpropagation is going to do
201360	202580	is it's going to start at G
202580	206040	and it's going to go backwards through that expression graph
206040	206880	and it's going to recurve.
206980	209640	So we're going to recursively apply the chain rule from Calculus.
210280	211920	And what that allows us to do then
212280	215480	is we're going to evaluate basically the derivative of G
215760	219900	with respect to all the internal nodes like E, D, and C,
220260	222760	but also with respect to the inputs A and B.
223400	226900	And then we can actually query this derivative of G
226900	229600	with respect to A, for example, that's A dot grad.
229960	231540	In this case, it happens to be 138.
232040	234040	And the derivative of G with respect to B,
234440	236940	which also happens to be here, 645.
237520	239240	And this derivative, we'll see soon,
239340	240540	is very important information
240540	244660	because it's telling us how A and B are affecting G
244660	246200	through this mathematical expression.
246820	249940	So in particular, A dot grad is 138.
250060	253980	So if we slightly nudge A and make it slightly larger,
254960	257480	138 is telling us that G will grow
257480	260140	and the slope of that growth is going to be 138.
260880	263700	And the slope of growth of B is going to be 645.
264320	266780	So that's going to tell us about how G will respond,
266980	269160	if A and B get tweaked a tiny amount
269160	271400	in a positive direction, okay?
273300	276220	Now, you might be confused about what this expression is
276220	277060	that we built out here.
277200	279360	And this expression, by the way, is completely meaningless.
279640	280720	I just made it up.
280820	282760	I'm just flexing about the kinds of operations
282760	284360	that are supported by micrograd.
284960	287000	What we actually really care about are neural networks.
287460	288700	But it turns out that neural networks
288700	291520	are just mathematical expressions, just like this one,
291780	293720	but actually a slightly bit less crazy even.
294820	296720	Neural networks are just a mathematical expression,
297100	299500	they take the input data as an input,
299800	301980	and they take the weights of a neural network as an input,
302340	303500	and it's a mathematical expression,
303860	306300	and the output are your predictions of your neural net
306300	307480	or the loss function.
307620	308400	We'll see this in a bit.
309000	311260	But basically, neural networks just happen to be
311260	313200	a certain class of mathematical expressions.
313860	316540	But backpropagation is actually significantly more general.
316840	319040	It doesn't actually care about neural networks at all.
319180	321620	It only cares about arbitrary mathematical expressions.
322040	324140	And then we happen to use that machinery
324140	325980	for training of neural networks.
326500	326920	Now, one more.
326980	328480	Another note I would like to make at this stage
328480	329420	is that, as you see here,
329540	331920	micrograd is a scalar-valued autograd engine.
332340	335220	So it's working on the level of individual scalars,
335300	336440	like negative four and two.
336820	337740	And we're taking neural nets
337740	338600	and we're breaking them down
338600	341220	all the way to these atoms of individual scalars
341220	342760	and all the little pluses and times,
342920	344200	and it's just excessive.
344900	345540	And so, obviously,
345660	347580	you would never be doing any of this in production.
347920	349840	It's really just done for pedagogical reasons
349840	351740	because it allows us to not have to deal
351740	353640	with these n-dimensional tensors
353640	356400	that you would use in a modern deep neural network library.
356980	359520	So this is really done so that you understand
359520	361300	and refactor out the background application
361300	364280	and chain rule and understanding of neural training.
364960	367360	And then, if you actually want to train bigger networks,
367540	368800	you have to be using these tensors,
369080	370240	but none of the math changes.
370380	371760	This is done purely for efficiency.
372360	375200	We are basically taking all the scalar values,
375520	376980	we're packaging them up into tensors,
377260	379020	which are just arrays of these scalars.
379440	381720	And then, because we have these large arrays,
381720	383860	we're making operations on those large arrays
383860	386700	that allows us to take advantage of the parallelism
386700	387200	in a computer.
387840	390000	And all those operations can be done in parallel,
390280	391880	and then the whole thing runs faster.
392320	393580	But really, none of the math changes,
393740	394980	and they're done purely for efficiency.
395400	397220	So I don't think that it's pedagogically useful
397220	399080	to be dealing with tensors from scratch.
399680	402040	And that's why I fundamentally wrote micrograd,
402360	403920	because you can understand how things work
403920	405360	at the fundamental level,
405720	407240	and then you can speed it up later.
408160	409160	Okay, so here's the fun part.
409500	411580	My claim is that micrograd is what you need
411580	412600	to train neural networks,
412600	414300	and everything else is just efficiency.
414920	416280	So you'd think that micrograd would be
416700	418240	a very complex piece of code.
418500	420960	And that turns out to not be the case.
421420	423040	So if we just go to micrograd,
423540	427040	and you'll see that there's only two files here in micrograd.
427340	428540	This is the actual engine.
428780	430280	It doesn't know anything about neural nets.
430580	432580	And this is the entire neural nets library
433160	434160	on top of micrograd.
434360	437080	So engine and nn.py.
437620	440760	So the actual backpropagation autograd engine
441660	443320	that gives you the power of neural networks
443760	444760	is literally
444840	445840	100 lines of code.
445840	446400	100 lines of code.
446400	448400	Of, like, very simple Python,
448400	450400	which we'll understand by the end of this lecture.
450400	452400	And then nn.py,
452400	454400	this neural network library
454400	456400	built on top of the autograd engine,
456400	458400	is like a joke.
458400	460400	It's like, we have to define what is a neuron,
460400	462400	and then we have to define what is a layer of neurons,
462400	464400	and then we define what is a multilayer perceptron,
464400	466400	which is just a sequence of layers of neurons.
466400	468400	And so it's just a total joke.
468400	470400	So basically,
470400	472400	there's a lot of power
472400	474400	that comes from only 150 lines of code.
474400	476200	And then we have to define what is a multilayer perceptron,
476200	478200	which is 150 lines of code.
478200	480200	And that's all you need to understand
480200	482200	to understand neural network training.
482200	484200	And everything else is just efficiency.
484200	486200	And of course, there's a lot to efficiency.
486200	488200	But fundamentally, that's all that's happening.
488200	490200	Okay, so now let's dive right in
490200	492200	and implement micrograd step by step.
492200	494200	The first thing I'd like to do is I'd like to make sure
494200	496200	that you have a very good understanding, intuitively,
496200	498200	of what a derivative is
498200	500200	and exactly what information it gives you.
500200	502200	So let's start with some basic imports
502200	504200	that I copy-paste in every Jupyter Notebook, always.
504200	506200	And let's define a derivative.
506200	508200	So let's define a function,
508200	510200	a scalar-valued function,
510200	512200	f of x, as follows.
512200	514200	So I just made this up randomly.
514200	516200	I just wanted a scalar-valued function
516200	518200	that takes a single scalar x
518200	520200	and returns a single scalar y.
520200	522200	And we can call this function, of course,
522200	524200	so we can pass in, say, 3.0
524200	526200	and get 20 back.
526200	528200	Now, we can also plot this function
528200	530200	to get a sense of its shape.
530200	532200	You can tell from the mathematical expression
532200	534200	that this is probably a parabola.
534200	536200	It's a quadratic.
536200	538200	It's a scalar-value that we can feed in
538200	540200	using, for example, a range
540200	542200	from negative 5 to 5
542200	544200	in steps of 0.25.
544200	546200	So x is just
546200	548200	from negative 5 to 5
548200	550200	not including 5
550200	552200	in steps of 0.25.
552200	554200	And we can actually call this function
554200	556200	on this numpy array as well.
556200	558200	So we get a set of y's
558200	560200	if we call f on x.
560200	562200	And these y's are basically
562200	564200	also applying the function
564200	566200	on every one of these elements independently.
566200	568200	Let's talk about this using Mathplotlib.
568200	570200	So plt.plot, x's and y's
570200	572200	and we get a nice parabola.
572200	574200	So previously here we fed in 3.0
574200	576200	somewhere here, and we received
576200	578200	20 back, which is here
578200	580200	the y coordinate.
580200	582200	So now I'd like to think through
582200	584200	what is the derivative of this function
584200	586200	at any single input point x?
586200	588200	So what is the derivative at different points x
588200	590200	of this function?
590200	592200	Now if you remember back to your calculus class
592200	594200	you've probably derived derivatives.
594200	596200	So we take this mathematical expression
596200	598200	for x plus 5, and you would write it out
598200	600200	on a piece of paper and you would
600200	602200	apply the product rule and all the other rules
602200	604200	and derive the mathematical expression
604200	606200	of the great derivative of the original function.
606200	608200	And then you could plug in different x's
608200	610200	and see what the derivative is.
610200	612200	We're not going to actually do that
612200	614200	because no one in neural networks
614200	616200	actually writes out the expression for the neural net.
616200	618200	It would be a massive expression.
618200	620200	It would be thousands, tens of thousands of terms.
620200	622200	No one actually derives the derivative
622200	624200	of course.
624200	626200	And so we're not going to take this kind of symbolic approach
626200	628200	instead what I'd like to do is I'd like to look at the
628200	630200	definition of derivative and just make sure
630200	632200	that we really understand what the derivative is measuring
632200	634200	what it's telling you about the function.
634200	636200	And so if we just look up
636200	638200	derivative
642200	644200	we see that
644200	646200	this is not a very good definition of derivative
646200	648200	this is a definition of what it means to be differentiable
648200	650200	but if you remember from your calculus
650200	652200	it is the limit as h goes to 0
652200	654200	of f of x plus h minus f of x
654200	656200	over h.
656200	658200	And basically what it's saying is
658200	660200	if you slightly bump up
660200	662200	at some point x that you're interested in
