start	end	text
0	5360	Hi everyone. So by now you have probably heard of ChatGPT. It has taken the world and the AI
5360	11700	community by storm, and it is a system that allows you to interact with an AI and give it text-based
11700	17080	tasks. So for example, we can ask ChatGPT to write us a small haiku about how important it is that
17080	20720	people understand AI, and then they can use it to improve the world and make it more prosperous.
21420	27080	So when we run this, AI knowledge brings prosperity for all to see, embrace its power.
27080	33300	Okay, not bad. And so you could see that ChatGPT went from left to right and generated all these
33300	39100	words sort of sequentially. Now, I asked it already the exact same prompt a little bit earlier,
39300	44660	and it generated a slightly different outcome. AI's power to grow, ignorance holds us back,
44920	50820	learn, prosperity waits. So pretty good in both cases and slightly different. So you can see that
50820	55520	ChatGPT is a probabilistic system, and for any one prompt, it can give us multiple answers,
55660	57020	sort of replying.
57080	62060	Now, this is just one example of a prompt. People have come up with many, many examples,
62520	68220	and there are entire websites that index interactions with ChatGPT. And so many of
68220	73640	them are quite humorous. Explain HTML to me like I'm a dog, write release notes for chess too,
74580	79900	write a note about Elon Musk buying a Twitter, and so on. So as an example,
80460	83180	please write a breaking news article about a leaf falling from a tree,
83180	86320	and a shocking turn of events.
87080	90340	The leaf falling from a tree in the local park. Witnesses report that the leaf, which was
90340	95040	previously attached to a branch of a tree, detached itself and fell to the ground. Very
95040	100000	dramatic. So you can see that this is a pretty remarkable system, and it is what we call a
100000	107560	language model, because it models the sequence of words or characters or tokens more generally,
107980	113260	and it knows how certain words follow each other in English language. And so from its perspective,
113260	116520	what it is doing is it is completing the sequence.
117080	122040	So I give it the start of a sequence, and it completes the sequence with the outcome.
122040	127400	And so it's a language model in that sense. Now, I would like to focus on the under the hood of
128360	132920	under the hood components of what makes ChatGPT work. So what is the neural network under the
132920	139080	hood that models the sequence of these words? And that comes from this paper called Attention
139080	146200	is All You Need. In 2017, a landmark paper, a landmark paper in AI that produced and proposed
146200	146900	the Transformer and the Translator. And this paper is called the Transformer and the Translator. And
146900	147060	this paper is called the Transformer and the Translator. And this paper is called the Transformer
147080	154280	Architecture. So GPT is short for generatively, generatively pre trained transformer. So
154280	158360	transformer is the neural net that actually does all the heavy lifting under the hood.
158360	164440	It comes from this paper in 2017. Now, if you read this paper, this reads like a pretty random
164440	168120	machine translation paper. And that's because I think the authors didn't fully anticipate the
168120	172680	impact that the transformer would have on the field. And this architecture that they produced
172680	176900	in the context of machine translation, in their case, actually ended up taking over
176900	183860	the rest of AI in the next five years after. And so this architecture with minor changes was copy
183860	191060	pasted into a huge amount of applications in AI in more recent years. And that includes at the core
191060	196340	of ChatGPT. Now, we are not going to, what I'd like to do now is I'd like to build out
196340	201220	something like ChatGPT. But we're not going to be able to, of course, reproduce ChatGPT.
201220	204580	This is a very serious production grade system. It is trained on
204580	211540	a good chunk of internet. And then there's a lot of pre training and fine tuning stages to it.
211540	217380	And so it's very complicated. What I'd like to focus on is just to train a transformer based
217380	222820	language model. And in our case, it's going to be a character level language model. I still think
222820	227620	that is a very educational with respect to how these systems work. So I don't want to train on
227620	232740	the chunk of internet, we need a smaller data set. In this case, I propose that we work with
232740	234560	my favorite toy data set. It's called ChatGPT. And I'm going to show you how that works. I'm going to
234580	237120	show you what it looks like. So first, I'm going to create a little tiny Shakespeare. And what it
237120	241920	is is basically it's a concatenation of all of the works of Shakespeare in my understanding. And so
241920	247960	this is all of Shakespeare in a single file. This file is about one megabyte. And it's just all of
247960	253920	Shakespeare. And what we are going to do now is we're going to basically model how these characters
253920	260440	follow each other. So for example, given a chunk of these characters like this, given some context
260440	264560	of characters in the past, the transformer neural network will look at the model of the character.
264580	268900	characters that i've highlighted and it's going to predict that g is likely to come next in the
268900	274020	sequence and it's going to do that because we're going to train that transformer on shakespeare
274020	280180	and it's just going to try to produce character sequences that look like this and in that process
280180	285220	is going to model all the patterns inside this data so once we've trained the system i just
285220	290900	like to give you a preview we can generate infinite shakespeare and of course it's a fake
290900	299300	thing that looks kind of like shakespeare um apologies for there's some jank that i'm not
299300	306820	able to resolve in in here but um you can see how this is going character by character and it's kind
306820	314020	of like predicting shakespeare-like language so verily my lord the sights have left the again
314020	320500	the king coming with my curses with precious pale and then tronio says something else etc
320900	325380	and this is just coming out of the transformer in a very similar manner as it would come out in
325380	332180	chat gpt in our case character by character in chat gpt it's coming out on the token by token
332180	336820	level and tokens are these sort of like little subword pieces so they're not word level they're
336820	344820	kind of like word chunk level um and now i've already written this entire code uh to train
344820	350580	these transformers um and it is in a github repository that you can find and it's called
350900	357380	nano gpt so nano gpt is a repository that you can find on my github and it's a repository for
357380	362900	training transformers um on any given text and what i think is interesting about it because
362900	367620	there's many ways to train transformers but this is a very simple implementation so it's just two
367620	374260	files of 300 lines of code each one file defines the gpt model the transformer and one file trains
374260	379620	it on some given text dataset and here i'm showing that if you train it on a open web text dataset
380900	390180	web pages then i reproduce the the performance of gpt2 so gpt2 is an early version of openai's gpt
391140	396740	from 2017 if i recall correctly and i've only so far reproduced the the smallest 124 million
396740	401540	parameter model but basically this is just proving that the code base is correctly arranged and i'm
401540	408420	able to load the neural network weights that openai has released later so you can take a look
408420	410420	at the finished code here in nano gpt
410900	416180	what i would like to do in this lecture is i would like to basically write this repository
416180	421780	from scratch so we're going to begin with an empty file and we're going to define a transformer piece
421780	427620	by piece we're going to train it on the tiny shakespeare dataset and we'll see how we can then
428260	433460	generate infinite shakespeare and of course this can copy paste to any arbitrary text dataset
433460	437780	that you like but my goal really here is to just make you understand and appreciate
438660	440500	how under the hood chat gpt works
441220	449060	and really all that's required is a proficiency in python and some basic understanding of calculus
449060	454660	and statistics and it would help if you also see my previous videos on the same youtube channel
454660	462820	in particular my make more series where i define smaller and simpler neural network language models
462820	467700	so multi-layered perceptrons and so on it really introduces the language modeling framework
467700	470740	and then here in this video we're going to focus on the transformer
470900	473940	so let's look at the general structure of the neural network itself
474820	480340	okay so i created a new google collab jupiter notebook here and this will allow me to later
480340	484900	easily share this code that we're going to develop together with you so you can follow along so this
484900	490420	will be in a video description later now here i've just done some preliminaries i downloaded
490420	495060	the dataset the tiny shakespeare dataset at this url and you can see that it's about a one megabyte
495060	499860	file then here i open the input.txt file and just read in all the text of the string
499860	502900	and you can see that we are working with one million characters roughly
503860	507860	and the first 1000 characters if we just print them out are basically what you would expect
507860	512980	this is the first 1000 characters of the tiny shakespeare dataset roughly up to here
514100	519620	so so far so good next we're going to take this text and the text is a sequence of characters
519620	525780	in python so when i call the set constructor on it i'm just going to get the set of all the
525780	527780	characters that occur in this text
529860	533940	and then i'm just going to set the set of all the characters that occur in this text
533940	538260	and then i'm going to I'm going to sort that to create a list of those characters instead of just
538260	544020	a set so that i have an ordering an arbitrary ordering and then i sort that so basically we
544020	548740	get just all the characters that occur in the entire data set and they're sorted now the number
548740	553940	of them is going to be our vocabulary size these are the possible elements of our sequences and
553940	559620	we see that when i print here the characters there's 65 of them in total there's a space character and then all kinds of special characters
559860	565460	lowercase letters so that's our vocabulary and that's the sort of like possible characters that
565460	572500	the model can see or emit okay so next we would like to develop some strategy to tokenize the
572500	579140	input text now when people say tokenize they mean convert the raw text as a string to some
579140	584660	sequence of integers according to some notebook according to some vocabulary of possible elements
585380	589380	so as an example here we are going to be building a character level language model
589380	592660	so we're simply going to be translating individual characters into integers
593380	598100	so let me show you a chunk of code that sort of does that for us so we're building both the
598100	604100	encoder and the decoder and let me just talk through what's happening here when we encode
604100	610660	an arbitrary text like hi there we're going to receive a list of integers that represents that
610660	618740	string so for example 46 47 etc and then we also have the reverse mapping so we can take this list
618740	619360	and decode it into a string so we can take this list and decode it into a string so we can take
619360	623840	this list and decode it to get back the exact same string so it's really just like a translation
623840	628800	to integers and back for arbitrary string and for us it is done on a character level
630000	633840	now the way this was achieved is we just iterate over all the characters here
633840	638000	and create a lookup table from the character to the integer and vice versa
638000	642400	and then to encode some string we simply translate all the characters individually
642400	649360	and to decode it back we use the reverse mapping concatenate all of it now this is only one of many
649360	654640	possible encodings or many possible tokenizers and it's a very simple one but there's many
654640	659600	other schemas that people have come up with in practice so for example Google uses SENTENCEPIECE
660800	666720	so SENTENCEPIECE will also encode text into integers but in a different schema
666720	673600	and using a different vocabulary and SENTENCEPIECE is a sub-word sort of tokenizer and what that
673600	679120	means is that you're not encoding entire words but you're not also encoding individual characters
679120	684960	it's a subword unit level and that's usually what's adopted in practice. For example also
684960	689920	OpenAI has this library called tiktoken that uses a byte pair encoding tokenizer
690960	697600	and that's what GPT uses and you can also just encode words into like hello world into lists
697600	703040	of integers. So as an example I'm using the tiktoken library here I'm getting the encoding
703040	710080	for GPT-2 or that was used for GPT-2. Instead of just having 65 possible characters or tokens
710080	717040	they have 50 000 tokens and so when they encode the exact same string high there we only get a
717040	725840	list of three integers but those integers are not between 0 and 64 they are between 0 and 50 256.
726720	732800	So basically you can trade off the codebook size and the sequence lengths so you can have a very
732800	733000	long string and you can have a very long string and you can have a very long string and you can
733000	733020	have a very long string and you can have a very long string and you can have a very long string and
733020	733260	you can have a very long string and you can have a very long string and you can have a very long
733260	737340	sequences of integers with very small vocabularies or you can have short
739180	745980	sequences of integers with very large vocabularies and so typically people use in practice these
745980	751100	subword encodings but I'd like to keep our tokenizer very simple so we're using character
751100	756460	level tokenizer and that means that we have very small codebooks we have very simple encode and
756460	762980	decode functions but we do get very long sequences as a result but that's the level at which we're
762980	767140	going to stick with this lecture because it's the simplest thing okay so now that we have an encoder
767140	772420	and a decoder effectively a tokenizer we can tokenize the entire training set of Shakespeare
772980	777220	so here's a chunk of code that does that and I'm going to start to use the pytorch library
777220	782660	and specifically the torch.tensor from the pytorch library so we're going to take all of the text
782660	789140	in tiny Shakespeare encode it and then wrap it into a torch.tensor to get the data tensor so
789140	792900	here's what the data tensor looks like when I look at just the first one thousand character
792980	797540	or the one thousand elements of it so we see that we have a massive sequence of integers
798100	803540	and this sequence of integers here is basically an identical translation of the first 1000 characters
803540	810580	here so I believe for example that zero is a new line character and maybe one is a space I'm not
810580	816180	100 sure but from now on the entire data set of text is re-represented as just it's just stretched
816180	822420	out as a single very large sequence of integers let me do one more thing before we move on here
822980	828580	we're going to separate out our data set into a train and a validation split so in particular
828580	833380	we're going to take the first 90 of the data set and consider that to be the training data
833380	838740	for the transformer and we're going to withhold the last 10 at the end of it to be the validation
838740	843380	data and this will help us understand to what extent our model is overfitting so we're going
843380	848020	to basically hide and keep the validation data on the side because we don't want just a perfect
848020	852980	memorization of this exact Shakespeare we want a neural network that sort of creates Shakespeare's
852980	860260	like text and so it should be fairly likely for it to produce the actual like stowed away
861380	867780	true Shakespeare text and so we're going to use this to get a sense of the overfitting okay so now
867780	872100	we would like to start plugging these text sequences or integer sequences into the
872100	877780	transformer so that it can train and learn those patterns now the important thing to realize is
877780	882020	we're never going to actually feed entire text into transformer all at once that would be
882980	888020	very expensive and prohibitive so when we actually train a transformer on a lot of these data sets
888020	893060	we only work with chunks of the data set and when we train the transformer we basically sample random
893060	898420	little chunks out of the training set and train them just chunks at a time and these chunks have
898420	905460	basically some kind of a length and some maximum length now the maximum length typically at least
905460	911220	in the code i usually write is called block size you can you can find it under different names
911220	912820	like context length or something like that
913300	917860	let's start with the block size of just eight and let me look at the first train data characters
918500	922340	the first block size plus one characters i'll explain why plus one in a second
923700	929620	so this is the first nine characters in the sequence in the training set now what i'd like
929620	934740	to point out is that when you sample a chunk of data like this so say these nine characters out
934740	941060	of the training set this actually has multiple examples packed into it and that's because all
941060	942740	of these characters follow each other
942980	949060	and so what this thing is going to say when we plug it into a transformer is we're going to
949060	952900	actually simultaneously train it to make a prediction at every one of these positions
953700	960020	now in the in a chunk of nine characters there's actually eight individual examples packed in there
960500	968340	so there's the example that when 18 when in the context of 18 47 likely comes next in a context of
968340	972260	18 and 47 56 comes next in the context of 1847
972980	976880	47, 56, 57 can come next, and so on.
977280	979180	So that's the eight individual examples.
979640	981260	Let me actually spell it out with code.
982480	984160	So here's a chunk of code to illustrate.
985080	986920	X are the inputs to the transformer.
987180	989240	It will just be the first block size characters.
990100	993960	Y will be the next block size characters.
993960	995340	So it's offset by one.
996200	1000460	And that's because Y are the targets for each position in the input.
1000460	1004120	And then here I'm iterating over all the block size of eight.
1004920	1009880	And the context is always all the characters in X up to T and including T.
1010580	1015500	And the target is always the T character, but in the targets array Y.
1016180	1016960	So let me just run this.
1018140	1020600	And basically it spells out what I said in words.
1021200	1024900	These are the eight examples hidden in a chunk of nine characters
1024900	1028820	that we sampled from the training set.
1029680	1030440	I want to make sure that I'm not missing anything.
1030440	1031120	Let me just mention one more thing.
1031700	1036340	We train on all the eight examples here with context between one
1036340	1038220	all the way up to context of block size.
1038740	1041160	And we train on that not just for computational reasons
1041160	1043700	because we happen to have the sequence already or something like that.
1043740	1045160	It's not just done for efficiency.
1045660	1051500	It's also done to make the transformer network be used to seeing contexts
1051500	1055140	all the way from as little as one all the way to block size.
1055700	1058900	And we'd like the transformer to be used to seeing everything in between.
1058900	1060320	And that's going to be useful.
1060440	1063020	Later during inference, because while we're sampling,
1063380	1067300	we can start to set a sampling generation with as little as one character of context.
1067680	1069880	And the transformer knows how to predict the next character
1070160	1072200	with all the way up to just context of one.
1072740	1075100	And so then it can predict everything up to block size.
1075440	1079500	And after block size, we have to start truncating because the transformer will never
1080200	1083660	receive more than block size inputs when it's predicting the next character.
1084780	1089300	Okay, so we've looked at the time dimension of the tensors that are going to be feeding into the transformer.
1089300	1092120	There's one more dimension to care about, and that is the batch dimension.
1092820	1098960	And so as we're sampling these chunks of text, we're going to be actually every time we're going to feed them into a transformer,
1099320	1104060	we're going to have many batches of multiple chunks of text that are all like stacked up in a single tensor.
1104660	1112500	And that's just done for efficiency just so that we can keep the GPUs busy because they are very good at parallel processing of data.
1113060	1116600	And so we just want to process multiple chunks all at the same time.
1116900	1118940	But those chunks are processed completely independently.
1118940	1119280	They don't take up too much space.
1119280	1120900	They don't talk to each other and so on.
1121560	1124720	So let me basically just generalize this and introduce a batch dimension.
1125060	1125960	Here's a chunk of code.
1127340	1129560	Let me just run it and then I'm going to explain what it does.
1131800	1145380	So here, because we're going to start sampling random locations in the data sets to pull chunks from, I am setting the seed so that in the random number generator, so that the numbers I see here are going to be the same numbers you see later if you try to reproduce this.
1146460	1148860	Now, the batch size here is how many independent sequences we are producing.
1149280	1152300	We're processing every forward backward pass of the transformer.
1153780	1157800	The block size, as I explained, is the maximum context length to make those predictions.
1158440	1160500	So let's say batch size four, block size eight.
1160920	1164160	And then here's how we get batch for any arbitrary split.
1164820	1168720	If the split is a training split, then we're going to look at train data, otherwise at val data.
1170040	1172140	That gives us the data array.
1172860	1178620	And then when I generate random positions to grab a chunk out of, I actually grab, I actually generate random data.
1178620	1179140	I actually generate random positions to grab a chunk out of.
1179140	1179240	I actually generate random positions to grab a chunk out of.
1179240	1179260	I actually generate random positions to grab a chunk out of.
1179280	1182960	assumeonline, will generate batch size number of random offsets.
1183200	1188080	So because this is four, we are, i, x is going to be a four numbers that are randomly generated between 0 and len of data minus block size.
1188080	1192060	are randomly generated between 0 and len of data minus block size.
1193460	1194840	So it's just random offsets into the training set.
1195620	1203520	And then x' as I explained are the first block size characters, starting at i.
1203920	1206140	The y' are the offset by 1 of that.
1207280	1207960	So just add plus 1.
1208040	1208640	And then we're going to get roughly how many random fields are generated.
1208640	1209220	So just add plus 1.
1209220	1216340	get those chunks for every one of integers i in ix and use a torch.stack to take all those
1217540	1223780	one-dimensional tensors as we saw here and we're going to stack them up as rows
1224900	1230660	and so they all become a row in a four by eight tensor so here's where i'm printing them
1230660	1239600	when i sample a batch xb and yb the inputs the transformer now are the input x is the four by
1239600	1247920	eight tensor four rows of eight columns and each one of these is a chunk of the training set
1247920	1255100	and then the targets here are in the associated array y and they will come in to the transformer
1255100	1260660	all the way at the end to create the loss function so they will give us the
1260660	1267220	correct answer for every single position inside x and then these are the four independent rows
1268900	1276500	so spelled out as we did before this 4x8 array contains a total of 32 examples
1277060	1280100	and they're completely independent as far as the transformer is concerned
1282020	1290580	so when the input is 24 the target is 43 or rather 43 here in the y array when the input is 2443
1290660	1299220	the target is 58. when the input is 2443 58 the target is 5 etc or like when it is a 52581 the
1299220	1306580	target is 58 right so you can sort of see this spelled out these are the 32 independent examples
1306580	1312740	packed in to a single batch of the input x and then the desired targets are in y
1313780	1320580	and so now this integer tensor of x is going to feed into the transformer
1321300	1325860	and that transformer is going to simultaneously process all these examples and then look up the
1325860	1332260	correct integers to predict in every one of these positions in the tensor y okay so now
1332260	1336660	that we have our batch of input that we'd like to feed into a transformer let's start basically
1336660	1341060	feeding this into neural networks now we're going to start off with the simplest possible
1341060	1344660	neural network which in the case of language modeling in my opinion is the bigram language
1344660	1350100	model and we've covered the bigram language model in my make more series in a lot of depth and so
1350100	1354980	here i'm going to sort of go faster and let's just implement the pytorch module directly that
1354980	1360740	implements the bigram language model so i'm importing the pytorch nn module
1362180	1367060	for reproducibility and then here i'm constructing a bigram language model which is a subclass of
1367060	1372740	nn module and then i'm calling it and i'm passing in the inputs and the targets
1373700	1378420	and i'm just printing now when the inputs and targets come here you see that i'm just taking the
1378420	1380020	index the inputs and targets and then i'm just printing the inputs and targets and then i'm just
1380020	1384420	printing the inputs x here which i rename to idx and i'm just passing them into this token
1384420	1390580	embedding table so what's going on here is that here in the constructor we are creating a token
1390580	1397940	embedding table and it is of size vocab size by vocab size and we're using an endot embedding
1397940	1403300	which is a very thin wrapper around basically a tensor of shape vocab size by vocab size
1404020	1410020	and what's happening here is that when we pass idx here every single integer in our input is going to
1410020	1415380	refer to this embedding table and is going to pluck out a row of that embedding table corresponding
1415380	1422740	to its index so 24 here will go to the embedding table and we'll pluck out the 24th row and then 43
1422740	1428420	will go here and pluck out the 43rd row etc and then pytorch is going to arrange all of this into
1428420	1438500	a batch by time by channel tensor in this case batch is 4 time is 8 and c which is the channels
1440740	1444900	and so we're just going to pluck out all those rows arrange them in a b by t by c
1445700	1449540	and now we're going to interpret this as the logits which are basically the scores
1450100	1454260	for the next character in a sequence and so what's happening here is
1454260	1459300	we are predicting what comes next based on just the individual identity of a single token
1459940	1464740	and you can do that because um i mean currently the tokens are not talking to each other and
1464740	1469940	they're not seeing any context except for they're just seeing themselves so i'm a i'm a token number
1470020	1475220	five and then i can actually make pretty decent predictions about what comes next just by knowing
1475220	1482580	that i'm token 5 because some characters know um follow other characters in typical scenarios
1482580	1487300	so we saw a lot of this in a lot more depth in the make more series and here if i just run this
1488020	1494420	then we currently get the predictions the scores the logits for every one of the four by eight
1494420	1498740	positions now that we've made predictions about what comes next we'd like to evaluate the loss
1498740	1500000	function and so in this case we want to make predictions about how would the loss function Te intentions are impact the sc noises you would get this this existence and then we oriented out we would get the loss function and so at
1500020	1505680	make more series we saw that a good way to measure a loss or like a quality of the predictions is to
1505680	1510420	use the negative log likelihood loss which is also implemented in PyTorch under the name cross
1510420	1517800	entropy. So what we'd like to do here is loss is the cross entropy on the predictions and the
1517800	1523260	targets and so this measures the quality of the logits with respect to the targets. In other words
1523260	1528960	we have the identity of the next character so how well are we predicting the next character based
1528960	1536880	on the logits and intuitively the correct dimension of logits depending on whatever
1536880	1541040	the target is should have a very high number and all the other dimensions should be very low number
1541040	1546920	right. Now the issue is that this won't actually this is what we want we want to basically output
1546920	1556400	the logits and the loss this is what we want but unfortunately this won't actually run we get an
1556400	1558540	error message but intuitively we want to
1558540	1558940	you
1558940	1565640	measure this. Now when we go to the PyTorch cross entropy documentation here
1565640	1571760	we're trying to call the cross entropy in its functional form so that means we don't have to
1571760	1577500	create like a module for it but here when we go to the documentation you have to look into the
1577500	1583140	details of how PyTorch expects these inputs and basically the issue here is PyTorch expects
1583140	1587820	if you have multi-dimensional input which we do because we have a b by t by c tensor
1587820	1588520	then it actually expects a multi-dimensional input which we do because we have a b by t by c tensor
1588520	1595220	then it actually really wants the channels to be the second dimension here so if you
1596620	1604620	so basically it wants a b by c by t instead of a b by t by c and so just the details of how PyTorch
1604620	1611380	treats these kinds of inputs and so we don't actually want to deal with that so what we're
1611380	1615520	going to do instead is we need to basically reshape our logits. So here's what I like to do I
1615520	1618420	like to take basically give names to the dimensions
1618420	1622660	So logits.shape is B by T by C and unpack those numbers.
1622660	1627240	And then let's say that logits equals logits.view.
1627240	1630780	And we want it to be a B times C, B times T by C.
1630780	1634000	So just a two-dimensional array, right?
1634000	1636120	So we're going to take all the,
1636120	1639840	we're going to take all of these positions here
1639840	1641480	and we're going to stretch them out
1641480	1643780	in a one-dimensional sequence
1643780	1646840	and preserve the channel dimension as the second dimension.
1646840	1649460	So we're just kind of like stretching out the array
1649460	1650840	so it's two-dimensional.
1650840	1652880	And in that case, it's going to better conform
1652880	1656380	to what PyTorch sort of expects in its dimensions.
1656380	1658600	Now we have to do the same to targets
1658600	1663600	because currently targets are of shape B by T
1664720	1666980	and we want it to be just B times T.
1666980	1668620	So one-dimensional.
1668620	1671860	Now, alternatively, you could always still just do minus one
1671860	1674080	because PyTorch will guess what this should be
1674080	1675380	if you want to lay it out.
1675380	1676500	But let me just be explicit
1676500	1676820	and say if you can see it.
1676820	1678200	If you can see it, it's going to be B times T.
1678200	1679720	Once we reshape this,
1679720	1682900	it will match the cross-entropy case
1682900	1685200	and then we should be able to evaluate our loss.
1687100	1691000	Okay, so that right now, and we can do loss.
1691000	1694620	And so currently we see that the loss is 4.87.
1694620	1699100	Now, because we have 65 possible vocabulary elements,
1699100	1701680	we can actually guess at what the loss should be.
1701680	1703200	And in particular,
1703200	1705920	we covered negative log likelihood in a lot of detail.
1705920	1706480	We are expecting,
1706480	1711480	we're expecting log or lon of one over 65
1712380	1713940	and negative of that.
1713940	1717520	So we're expecting the loss to be about 4.17,
1717520	1719260	but we're getting 4.87.
1719260	1721200	And so that's telling us that the initial predictions
1721200	1723060	are not super diffuse.
1723060	1724760	They've got a little bit of entropy.
1724760	1726160	And so we're guessing wrong.
1727200	1732200	So yes, but actually we are able to evaluate the loss.
1732800	1735780	Okay, so now that we can evaluate the quality of the model
1735780	1737180	on some data,
1737180	1739300	we'd like to also be able to generate from the model.
1739300	1741200	So let's do the generation.
1741200	1743040	Now I'm going to go again a little bit faster here
1743040	1746680	because I covered all this already in the previous videos.
1746680	1750240	So here's a generate function for the model.
1752420	1753800	So we take some,
1753800	1757460	we take the same kind of input IDX here.
1757460	1762460	And basically this is the current context of some characters
1763240	1765180	in a batch, in some batch.
1765780	1767480	So it's also B by T.
1767480	1770820	And the job of generate is to basically take this B by T
1770820	1773640	and extend it to be B by T plus one, plus two, plus three.
1773640	1774700	And so it's just basically,
1774700	1777540	it continues the generation in all the batch dimensions
1777540	1779320	in the time dimension.
1779320	1780500	So that's its job.
1780500	1783080	And it will do that for max new tokens.
1783080	1784500	So you can see here on the bottom,
1784500	1785920	there's going to be some stuff here,
1785920	1786820	but on the bottom,
1786820	1789760	whatever is predicted is concatenated
