start	end	text
0	15000	Please welcome AI researcher and founding member of OpenAI, Andrej Karpathy.
15000	23560	Andrej Karpathy Hi, everyone.
23560	28820	I'm happy to be here to tell you about the state of GPT and more generally about the
28820	32140	rapidly growing ecosystem of large language models.
32140	35400	So I would like to partition the talk into two parts.
35400	39580	In the first part, I would like to tell you about how we train GPT assistants.
39580	43740	And then in the second part, we are going to take a look at how we can use these assistants
43740	46760	effectively for your applications.
46760	50500	So first, let's take a look at the emerging recipe for how to train these assistants.
50500	53200	And keep in mind that this is all very new and still rapidly evolving.
53200	55960	But so far, the recipe looks something like this.
55960	58800	Now this is kind of a complicated slide, so I'm going to go through it piece by piece.
58800	65400	But roughly speaking, we have four major stages, pre-training, supervised fine-tuning,
65400	70040	reward modeling, reinforcement learning, and they follow each other serially.
70040	74900	Now in each stage, we have a data set that powers that stage.
74900	81420	We have an algorithm that for our purposes will be an objective for training the neural
81420	82420	network.
82420	84060	And then we have a resulting model.
84060	85980	And then there's some notes on the bottom.
85980	88160	So the first stage we're going to start with is the pre-training stage.
88160	88640	So the first stage we're going to start with is the pre-training stage.
88800	93640	Now this stage is kind of special in this diagram, and this diagram is not to scale.
93640	96460	Because this stage is where all of the computational work basically happens.
96460	102020	This is 99% of the training compute time, and also flops.
102020	108560	And so this is where we are dealing with internet-scale data sets with thousands of GPUs in the supercomputer,
108560	111420	and also months of training, potentially.
111420	116120	The other three stages are fine-tuning stages that are much more along the lines of a small
116120	118160	few number of GPUs and hours or days.
118800	124180	So let's take a look at the pre-training stage to achieve a base model.
124180	127860	First we're going to gather a large amount of data.
127860	133100	Here's an example of what we call a data mixture that comes from this paper that was released
133100	136400	by Meta, where they released this LAMA base model.
136400	140560	Now you can see roughly the kinds of data sets that enter into these collections.
140560	145540	So we have Common Crawl, which is just a web scrape, C4, which is also Common Crawl, and
145540	147360	then some high-quality data sets as well.
147360	147960	So for example, GitHub, Wikipedia, and so on.
147960	148460	So we have common crawl, which is just a web scrape, C4, which is also common crawl, and then some high-quality data sets as well. So for example, GitHub, Wikipedia, and so on.
148800	149300	So we have Common Crawl, which is just a web scrape, C4, which is also common crawl, and then some high-quality data sets as well.
149300	149800	So we have Common Crawl, which is just a web scrape, C4, which is also common crawl, and then some high-quality data sets as well.
149800	156280	These are all mixed up together, and then they are sampled according to some given proportions,
156280	160040	and that forms the training set for the neural net, for the GPT.
160040	165120	Now before we can actually train on this data, we need to go through one more pre-processing
165120	166920	step, and that is tokenization.
166920	170820	And this is basically a translation of the raw text that we scraped from the internet
170820	173300	into sequences of integers.
173300	177420	Because that's the native representation over which GPTs function.
177420	177960	Now, this is a lossless method of group mapping.
177960	178460	Now, this is a lossless method of group mapping.
178460	184180	lossless kind of translation between pieces of text and tokens and integers. And there are a
184180	187960	number of algorithms for this stage. Typically, for example, you could use something like byte
187960	194180	pairing coding, which iteratively merges little text chunks and groups them into tokens. And so
194180	198780	here I'm showing some example chunks of these tokens. And then this is the raw integer sequence
198780	206060	that will actually feed into a transformer. Now, here I'm showing two sort of like examples for
206060	211300	hyperparameters that govern this stage. So GPT-4, we did not release too much information about how
211300	215340	it was trained and so on. So I'm using GPT-3's numbers. But GPT-3 is, of course, a little bit
215340	221180	old by now, about three years ago. But LAMA is a fairly recent model from Meta. So these are
221180	224280	roughly the orders of magnitude that we're dealing with when we're doing pre-training.
225080	229780	The vocabulary size is usually a couple 10,000 tokens. The context length is usually something
229780	235740	like 2,000, 4,000, or nowadays even 100,000. And this governs the maximum number of integers
235740	236040	that we're dealing with. And so this is the order of magnitude that we're dealing with.
236060	240040	That the GPT will look at when it's trying to predict the next integer in a sequence.
241800	245840	You can see that roughly the number of parameters is, say, 65 billion for LAMA.
246280	251040	Now, even though LAMA has only 65B parameters compared to GPT-3's 175 billion parameters,
251440	256360	LAMA is a significantly more powerful model. And intuitively, that's because the model is
256360	260980	trained for significantly longer. In this case, 1.4 trillion tokens instead of just 300 billion
260980	265160	tokens. So you shouldn't judge the power of a model just by the number of parameters that it
265160	265500	contains.
266060	272420	Below, I'm showing some tables of rough hyperparameters that typically go into specifying
272420	276520	the transformer neural network. So the number of heads, the dimension size, number of layers,
276600	282140	and so on. And on the bottom, I'm showing some training hyperparameters. So for example,
282280	290920	to train the 65B model, Meta used 2,000 GPUs, roughly 21 days of training, and roughly several
290920	296040	million dollars. And so that's the rough orders of magnitude that you should have in mind for the
296060	296940	pre-training stage.
299040	303680	Now, when we're actually pre-training, what happens? Roughly speaking, we are going to take our tokens,
303700	308520	and we're going to lay them out into data batches. So we have these arrays that will feed into the
308520	313720	transformer, and these arrays are B, the batch size, and these are all independent examples stacked
313720	319400	up in rows, and B by T, T being the maximum context length. So in my picture, I only have 10,
320180	326040	the context length. So this could be 2,000, 4,000, et cetera. So these are extremely long rows. And what we do is we take these
326060	332440	documents, and we pack them into rows, and we delimit them with these special end-of-text tokens, basically telling the
332440	339020	transformer where a new document begins. And so here I have a few examples of documents, and then I've stretched them out
339020	348640	into this input. Now, we're going to feed all of these numbers into transformer. And let me just focus on a single
348640	355440	particular cell, but the same thing will happen at every cell in this diagram. So let's look at the green cell. The green cell is
356060	363740	going to take a look at all of the tokens before it, so all of the tokens in yellow, and we're going to feed that entire context into the
363740	370820	transformer neural network, and the transformer is going to try to predict the next token in a sequence, in this case, in red. Now, the
370820	376860	transformer, I don't have too much time to, unfortunately, go into the full details of this neural network architecture. It's just a large blob of
376860	383120	neural net stuff for our purposes, and it's got several 10 billion parameters, typically, or something like that. And, of course, as you
383120	386040	tune these parameters, you're getting slightly different predicted distributions. And so what we're going to do is we're going to take a look at the
386060	395300	distributions for every single one of these cells. And so, for example, if our vocabulary size is 50,257 tokens, then we're going to have that
395300	402120	many numbers, because we need to specify a probability distribution for what comes next. So basically, we have a probability for whatever may
402120	410300	follow. Now, in this specific example, for this specific cell, 513 will come next, and so we can use this as a source of supervision to update our
410300	416020	transformer's weights. And so we're applying this, basically, on every single cell in the parallel, and we keep swapping back and forth between the
416060	423000	batches, and we're trying to get the transformer to make the correct predictions over what token comes next in a sequence. So let me show you more
423000	430040	concretely what this looks like when you train one of these models. This is actually coming from the New York Times, and they trained a small GPT on
430040	438140	Shakespeare. And so here's a small snippet of Shakespeare, and they trained a GPT on it. Now, in the beginning, at initialization, the GPT starts with
